feature	f__Acutalibacteraceae Family	f__Christensenellaceae Family	f__Coprobacillaceae Family	f__Dehalobacteriaceae Family	f__Lachnospiraceae Family	f__Muribaculaceae Family	f__Oscillospiraceae_88309 Family	f__Peptostreptococcaceae_256921 Family	f__UBA1242 Family	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Akkermansia	g__Alistipes_A_871400	g__Anaerocolumna	g__Anaerosporobacter	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Blautia_A_141780	g__Borkfalkia	g__C-19	g__CAG-314	g__CAG-873	g__COE1	g__Cellulosilyticum	g__Choladousia	g__Clostridioides_A	g__Clostridium_F	g__Clostridium_J	g__Clostridium_T	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterocloster	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_G_180878	g__Eubacterium_R	g__Evtepia	g__Faecalibaculum	g__Granulimonas	g__Hominilimicola	g__Hominisplanchenecus_A	g__Kineothrix	g__Klebsiella_724518	g__Lachnoclostridium_A_184689	g__Lachnotalea	g__Lacrimispora	g__Lactobacillus	g__Laedolimicola	g__Lawsonibacter	g__Lepagella	g__Lientehia	g__Ligilactobacillus	g__Limosilactobacillus	g__Lysinibacillus_304693	g__MD308	g__Merdibacter	g__Paenibacillus_A	g__Pandoraea	g__Paraclostridium	g__Parasutterella_564865	g__Petralouisia	g__Porcincola	g__Robinsoniella	g__Romboutsia_B	g__Romboutsia_D_247318	g__Romboutsia_E	g__Schaedlerella	g__Solibaculum	g__Sporofaciens	g__Stenotrophomonas_A_615274	g__Terrisporobacter	g__Thomasclavelia	g__Turicibacter	g__UBA5905	o__Lachnospirales Order
Villapol_547_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.31836147986717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.59809049031422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.83613227257176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.25135064003124	NA	NA	NA	NA	NA	-11.6278378337083	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_548_3DPI	NA	NA	-4.88499233345187	NA	NA	NA	NA	NA	NA	NA	NA	-11.2635039567056	NA	-4.51396968903634	NA	NA	NA	-0.342853362141616	NA	NA	NA	NA	NA	-6.28165130341586	NA	NA	-6.94157586181824	NA	NA	NA	NA	-5.05015667497216	-4.85072243136712	NA	NA	NA	NA	-11.0004695508718	-10.7780771295354	NA	NA	NA	NA	-7.72745105646539	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.77807712953536	NA	NA	NA	NA	-9.1931146288142	NA	NA	NA	NA	-5.7336830101769	NA	-11.2635039567056	NA	NA	NA	NA	NA	NA	-9.77807712953536	NA	NA	-5.73994200064859	NA	NA	NA
Villapol_549_3DPI	NA	NA	-5.32926467219012	NA	-9.99814965645636	-8.38343981234116	NA	-11.676221561569	NA	NA	NA	-10.5387180378191	NA	-4.37792983094888	-9.41318715573521	NA	NA	-0.415537205189344	-10.0912590608478	NA	NA	NA	NA	-7.73136311576146	-9.53871803781907	NA	-7.09125906084784	NA	NA	-11.1907947343988	NA	-3.74903620374264	-4.75259695020068	NA	-11.9981496564564	NA	NA	-10.4131871557352	-8.57188490175427	NA	NA	NA	NA	-10.4131871557352	NA	NA	NA	NA	NA	NA	NA	-9.47458770039935	NA	-8.8688666395114	NA	NA	NA	NA	-8.82822465501405	-11.9981496564564	NA	NA	NA	-5.6015448752745	NA	NA	NA	NA	NA	NA	NA	NA	-9.14016866132879	NA	NA	-6.41318715573521	-11.9981496564564	NA	NA
Villapol_550_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.32025249070262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.0709594769276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.152375714365541	NA	NA
Villapol_553_3DPI	NA	NA	-6.83677016607381	NA	-8.65470983877258	-8.00669516751612	NA	NA	NA	NA	-9.49973517879624	-10.610766491185	NA	-2.56987406053808	-12.0846976795174	NA	NA	-0.667079539587888	-11.9326945860723	NA	NA	-10.5541829628186	NA	-7.42173266679497	NA	NA	-7.14088051491052	NA	NA	NA	NA	-3.77181472423304	-4.87958324961278	NA	-10.610766491185	NA	-7.27734275745979	-10.2546226809597	NA	-10.3966416858321	NA	-9.34773208535119	NA	NA	NA	NA	NA	NA	NA	NA	-6.87524431388845	-11.3477320853512	NA	-10.610766491185	NA	NA	NA	NA	-8.06479812207969	NA	NA	-9.89707067634162	NA	-5.53010882783976	-11.7951910623224	NA	NA	NA	NA	NA	NA	NA	-10.8623052581809	NA	NA	-6.07471359094477	-9.27734275745979	NA	NA
Villapol_557_3DPI	NA	-12.349926214636	NA	NA	NA	-9.96526236440071	NA	NA	NA	NA	NA	-12.349926214636	NA	-2.44019977193356	NA	NA	NA	-0.693203427755565	-12.9348887153572	NA	-12.7124962940207	-13.5198512160783	-10.2344489972161	-10.3103978504494	NA	NA	-12.060419597441	NA	NA	NA	NA	-4.87509362356209	-6.30796292153234	NA	NA	NA	-7.30553209527758	-11.8194114979373	NA	NA	NA	-5.65257247636868	NA	NA	NA	NA	NA	NA	NA	NA	-11.7124962940207	-14.5198512160783	NA	-12.9348887153572	NA	-3.54114075697199	-11.9348887153572	NA	NA	NA	NA	NA	NA	-4.95570172609261	NA	NA	NA	-10.3103978504494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6129606204698
Villapol_560_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6925283271551	NA	-3.10356389587644	-13.2774908278762	NA	NA	-0.563417069843741	-10.9555627329889	NA	NA	NA	NA	-12.4294939213213	NA	NA	NA	NA	NA	NA	NA	-3.25734425476447	-8.65690441742437	NA	NA	NA	-3.90419063126786	-11.0144564220424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.1399873041263	NA	NA	-12.1399873041263	NA	NA	NA	NA	NA	NA	NA	-5.44080923454913	NA	-6.95917398654126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_562_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.87080280071837	NA	NA	-6.79241490203366	-0.445730708060722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.32292961873244	-5.96929266411773	-7.03342300153745	NA	NA	NA	-4.08346368403705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.32292961873244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_563_3DPI	NA	NA	-7.89280841201233	NA	NA	-9.38184649273495	NA	NA	NA	NA	-11.5142967887586	-10.5142967887586	NA	-2.99677880903558	-11.4073815848421	NA	NA	-0.784153282253604	-12.6297740061785	NA	-11.4073815848421	NA	NA	-7.92011575800807	-9.96680899345611	NA	-9.30784591129118	NA	NA	NA	NA	-2.23709881649382	-5.38977776637117	NA	-10.1703423875412	NA	-7.15945407139851	NA	NA	-7.02491194801968	NA	NA	-10.4598490047362	NA	NA	NA	NA	NA	NA	-12.6297740061785	NA	NA	-13.2147365068997	-9.14864731644192	NA	NA	NA	NA	NA	-9.96680899345611	NA	NA	-9.06498938739501	-5.67363989155017	NA	-9.10621205012153	NA	-12.4073815848421	NA	NA	NA	NA	NA	NA	NA	NA	-11.8928084120123	NA	NA
Villapol_587_3DPI	NA	NA	NA	NA	NA	-12.2698571946549	NA	NA	NA	NA	NA	NA	NA	-4.38111394575661	NA	NA	NA	-0.572889668420581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.6848946939337	NA	-3.53260985162713	-7.32734268931563	NA	NA	NA	-6.59037709514942	NA	NA	NA	NA	NA	-7.24748938162641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.65468738081127	NA	NA	NA	NA	NA	NA	NA	-7.18239435340453	NA	NA	NA	-12.2698571946549	NA	NA	NA	NA	NA	-12.2698571946549	NA	-8.08003263577485	NA	NA	NA
