sample	MouseID	Genotype	Treatment	Sex	Timepoint	Injury
Villapol_616_3DPI	616	WT	VEH	F	3DPI	TBI
Villapol_616_BA	616	WT	VEH	F	BA	TBI
Villapol_617_1DPI	617	WT	VEH	F	1DPI	TBI
Villapol_618_1DPI	618	WT	VEH	F	1DPI	TBI
Villapol_618_3DPI	618	WT	VEH	F	3DPI	TBI
Villapol_618_BA	618	WT	VEH	F	BA	TBI
Villapol_619_1DPI	619	HEMI	VEH	M	1DPI	TBI
Villapol_619_3DPI	619	HEMI	VEH	M	3DPI	TBI
Villapol_619_BA	619	HEMI	VEH	M	BA	TBI
Villapol_620_1DPI	620	HEMI	VEH	M	1DPI	TBI
Villapol_620_3DPI	620	HEMI	VEH	M	3DPI	TBI
Villapol_620_BA	620	HEMI	VEH	M	BA	TBI
Villapol_621_1DPI	621	HEMI	FMT	M	1DPI	TBI
Villapol_621_3DPI	621	HEMI	FMT	M	3DPI	TBI
Villapol_621_BA	621	HEMI	FMT	M	BA	TBI
Villapol_622_1DPI	622	HEMI	FMT	M	1DPI	TBI
Villapol_622_3DPI	622	HEMI	FMT	M	3DPI	TBI
Villapol_622_BA	622	HEMI	FMT	M	BA	TBI
Villapol_623_1DPI	623	WT	FMT	M	1DPI	TBI
Villapol_623_3DPI	623	WT	FMT	M	3DPI	TBI
Villapol_623_BA	623	WT	FMT	M	BA	TBI
Villapol_624_1DPI	624	WT	FMT	M	1DPI	TBI
Villapol_624_3DPI	624	WT	FMT	M	3DPI	TBI
Villapol_624_BA	624	WT	FMT	M	BA	TBI
Villapol_625_1DPI	625	WT	VEH	M	1DPI	TBI
Villapol_625_3DPI	625	WT	VEH	M	3DPI	TBI
Villapol_625_BA	625	WT	VEH	M	BA	TBI
Villapol_626_1DPI	626	WT	VEH	M	1DPI	TBI
Villapol_626_3DPI	626	WT	VEH	M	3DPI	TBI
Villapol_626_BA	626	WT	VEH	M	BA	TBI
Villapol_627_1DPI	627	WT	VEH	M	1DPI	TBI
Villapol_627_3DPI	627	WT	VEH	M	3DPI	TBI
Villapol_627_BA	627	WT	VEH	M	BA	TBI
Villapol_628_1DPI	628	HEMI	FMT	F	1DPI	TBI
Villapol_628_3DPI	628	HEMI	FMT	F	3DPI	TBI
Villapol_628_BA	628	HEMI	FMT	F	BA	TBI
Villapol_629_1DPI	629	HEMI	FMT	F	1DPI	TBI
Villapol_629_3DPI	629	HEMI	FMT	F	3DPI	TBI
Villapol_629_BA	629	HEMI	FMT	F	BA	TBI
Villapol_630_1DPI	630	HEMI	VEH	F	1DPI	TBI
Villapol_630_3DPI	630	HEMI	VEH	F	3DPI	TBI
Villapol_630_BA	630	HEMI	VEH	F	BA	TBI
Villapol_631_1DPI	631	HEMI	VEH	F	1DPI	TBI
Villapol_631_3DPI	631	HEMI	VEH	F	3DPI	TBI
Villapol_631_BA	631	HEMI	VEH	F	BA	TBI
Villapol_632_1DPI	632	HEMI	VEH	F	1DPI	TBI
Villapol_632_3DPI	632	HEMI	VEH	F	3DPI	TBI
Villapol_632_BA	632	HEMI	VEH	F	BA	TBI
Villapol_633_1DPI	633	WT	VEH	F	1DPI	TBI
Villapol_633_3DPI	633	WT	VEH	F	3DPI	TBI
Villapol_633_BA	633	WT	VEH	F	BA	TBI
Villapol_634_1DPI	634	WT	VEH	F	1DPI	TBI
Villapol_634_3DPI	634	WT	VEH	F	3DPI	TBI
Villapol_634_BA	634	WT	VEH	F	BA	TBI
Villapol_635_1DPI	635	WT	FMT	F	1DPI	TBI
Villapol_635_3DPI	635	WT	FMT	F	3DPI	TBI
Villapol_635_BA	635	WT	FMT	F	BA	TBI
Villapol_636_1DPI	636	WT	FMT	F	1DPI	TBI
Villapol_636_3DPI	636	WT	FMT	F	3DPI	TBI
Villapol_636_BA	636	WT	FMT	F	BA	TBI
Villapol_637_1DPI	637	WT	FMT	F	1DPI	TBI
Villapol_637_3DPI	637	WT	FMT	F	3DPI	TBI
Villapol_637_BA	637	WT	FMT	F	BA	TBI
