"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","shannon_unique"
"138",559,"WT","VEH","1DPI","M","Sham",1.49411488126572
"139",560,"WT","FMT","1DPI","M","Sham",1.81475396341265
"140",560,"WT","FMT","3DPI","M","Sham",1.16510500626175
"141",560,"WT","FMT","BA","M","Sham",2.42677479617228
"142",561,"WT","FMT","1DPI","M","Sham",0.621261765939753
"143",562,"HEMI","FMT","1DPI","F","TBI",0.711203715010441
"144",562,"HEMI","FMT","3DPI","F","TBI",0.991344093169374
"145",562,"HEMI","FMT","BA","F","TBI",2.58831351390085
"146",563,"HEMI","FMT","1DPI","F","TBI",0.768249881979654
"147",563,"HEMI","FMT","3DPI","F","TBI",1.47400801021805
"148",563,"HEMI","FMT","BA","F","TBI",2.67929120048606
"149",564,"HEMI","VEH","1DPI","F","TBI",0.901854188891402
"150",565,"HEMI","VEH","1DPI","F","TBI",0.896689213591124
"151",566,"HEMI","FMT","1DPI","M","Sham",0.165420762750919
"152",567,"HEMI","FMT","1DPI","M","Sham",1.29804824740345
"153",568,"HEMI","VEH","1DPI","M","Sham",2.37493159830316
"154",569,"HEMI","VEH","1DPI","M","Sham",0.0314330838158849
"155",570,"WT","FMT","1DPI","F","Sham",0.793835250644953
"156",571,"WT","FMT","1DPI","F","Sham",0.595590733997445
"157",572,"WT","FMT","1DPI","F","Sham",0.954464655087633
"158",573,"WT","VEH","1DPI","F","Sham",0.0345477065742083
"159",574,"WT","VEH","1DPI","F","Sham",0.00796037406458736
"160",575,"WT","FMT","1DPI","M","Sham",0.884605226845343
"161",576,"WT","FMT","1DPI","M","Sham",0.0452968716528921
"162",577,"WT","FMT","1DPI","M","Sham",1.29668054553565
"163",578,"WT","VEH","1DPI","M","Sham",1.61224575086039
"164",579,"WT","VEH","1DPI","M","Sham",1.14840568869188
"165",580,"HEMI","VEH","1DPI","F","Sham",2.0673472735497
"166",581,"HEMI","VEH","1DPI","F","Sham",0.896369595738149
"167",582,"HEMI","VEH","1DPI","F","Sham",0.361596778166219
"168",583,"HEMI","FMT","1DPI","F","Sham",0.1555520367978
"169",584,"HEMI","FMT","1DPI","F","Sham",0.224180180431852
"170",585,"HEMI","FMT","1DPI","M","TBI",1.21671283218867
"171",586,"HEMI","FMT","1DPI","M","TBI",1.27441427806268
"172",587,"HEMI","FMT","1DPI","M","TBI",1.10335475327553
"173",587,"HEMI","FMT","3DPI","M","TBI",1.29770414989061
"174",587,"HEMI","FMT","BA","M","TBI",2.96086612798136
"175",588,"HEMI","VEH","1DPI","M","TBI",1.38744585653135
"176",589,"HEMI","VEH","1DPI","M","TBI",1.46282192676792
"177",589,"HEMI","VEH","3DPI","M","TBI",1.15406110307651
"178",589,"HEMI","VEH","BA","M","TBI",2.99308575904262
