"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","chao1_unique"
"156",571,"WT","FMT","1DPI","F","Sham",7
"157",572,"WT","FMT","1DPI","F","Sham",11
"158",573,"WT","VEH","1DPI","F","Sham",4
"159",574,"WT","VEH","1DPI","F","Sham",4
"160",575,"WT","FMT","1DPI","M","Sham",5
"161",576,"WT","FMT","1DPI","M","Sham",5
"162",577,"WT","FMT","1DPI","M","Sham",24
"163",578,"WT","VEH","1DPI","M","Sham",9
"164",579,"WT","VEH","1DPI","M","Sham",19
"165",580,"HEMI","VEH","1DPI","F","Sham",42
"166",581,"HEMI","VEH","1DPI","F","Sham",20
"167",582,"HEMI","VEH","1DPI","F","Sham",12
"168",583,"HEMI","FMT","1DPI","F","Sham",7
"169",584,"HEMI","FMT","1DPI","F","Sham",11
"170",585,"HEMI","FMT","1DPI","M","TBI",9
"171",586,"HEMI","FMT","1DPI","M","TBI",8
"172",587,"HEMI","FMT","1DPI","M","TBI",10
"173",587,"HEMI","FMT","3DPI","M","TBI",28
"174",587,"HEMI","FMT","BA","M","TBI",89.6666666666667
"175",588,"HEMI","VEH","1DPI","M","TBI",7
"176",589,"HEMI","VEH","1DPI","M","TBI",13
"177",589,"HEMI","VEH","3DPI","M","TBI",32
"178",589,"HEMI","VEH","BA","M","TBI",107
"179",590,"WT","FMT","1DPI","F","TBI",6
"180",591,"WT","FMT","1DPI","F","TBI",64
"181",592,"WT","FMT","1DPI","F","TBI",7
"182",592,"WT","FMT","3DPI","F","TBI",70
"183",592,"WT","FMT","BA","F","TBI",100.272727272727
"184",593,"WT","VEH","1DPI","F","TBI",20
"185",593,"WT","VEH","3DPI","F","TBI",38
"186",593,"WT","VEH","BA","F","TBI",77.5
"187",594,"WT","VEH","1DPI","F","TBI",45
"188",595,"WT","FMT","1DPI","M","TBI",15
"189",596,"WT","FMT","1DPI","M","TBI",30
"190",597,"WT","FMT","1DPI","M","TBI",50
"191",597,"WT","FMT","3DPI","M","TBI",82.5
"192",597,"WT","FMT","BA","M","TBI",90
"193",598,"WT","VEH","1DPI","M","TBI",9
"194",599,"WT","VEH","1DPI","M","TBI",51
"195",600,"HEMI","VEH","1DPI","M","TBI",8
"196",601,"HEMI","VEH","1DPI","M","TBI",11
"197",602,"HEMI","FMT","1DPI","M","TBI",19
"198",603,"HEMI","FMT","1DPI","M","TBI",9
"199",604,"WT","VEH","1DPI","M","TBI",19
"200",605,"WT","VEH","1DPI","M","TBI",4
"201",606,"WT","FMT","1DPI","M","TBI",8
"202",606,"WT","FMT","3DPI","M","TBI",53
"203",606,"WT","FMT","BA","M","TBI",77
"204",607,"WT","FMT","1DPI","M","TBI",15
"205",608,"WT","FMT","1DPI","M","TBI",10
"206",609,"HEMI","VEH","1DPI","F","TBI",4
"207",610,"HEMI","VEH","1DPI","F","TBI",12
"208",611,"HEMI","FMT","1DPI","F","TBI",22
"209",612,"HEMI","FMT","1DPI","F","TBI",6
"210",612,"HEMI","FMT","3DPI","F","TBI",75.3333333333333
"211",612,"HEMI","FMT","BA","F","TBI",99
"212",613,"HEMI","FMT","1DPI","F","TBI",29
"213",614,"WT","FMT","1DPI","F","TBI",9
"214",614,"WT","FMT","3DPI","F","TBI",72
"215",614,"WT","FMT","BA","F","TBI",88
"216",615,"WT","FMT","1DPI","F","TBI",10
"217",616,"WT","VEH","1DPI","F","TBI",25
"218",616,"WT","VEH","3DPI","F","TBI",53.3333333333333
"219",616,"WT","VEH","BA","F","TBI",24
"220",617,"WT","VEH","1DPI","F","TBI",24
"221",618,"WT","VEH","1DPI","F","TBI",9
"222",618,"WT","VEH","3DPI","F","TBI",36
"223",618,"WT","VEH","BA","F","TBI",104.3
"224",619,"HEMI","VEH","1DPI","M","TBI",11
"225",619,"HEMI","VEH","3DPI","M","TBI",78.875
"226",619,"HEMI","VEH","BA","M","TBI",82
"227",620,"HEMI","VEH","1DPI","M","TBI",8
"228",620,"HEMI","VEH","3DPI","M","TBI",31
"229",620,"HEMI","VEH","BA","M","TBI",94.375
"230",621,"HEMI","FMT","1DPI","M","TBI",45
"231",621,"HEMI","FMT","3DPI","M","TBI",72
"232",621,"HEMI","FMT","BA","M","TBI",77.6
"233",622,"HEMI","FMT","1DPI","M","TBI",23
"234",622,"HEMI","FMT","3DPI","M","TBI",38
"235",622,"HEMI","FMT","BA","M","TBI",80
"236",623,"WT","FMT","1DPI","M","TBI",29
"237",623,"WT","FMT","3DPI","M","TBI",33
"238",623,"WT","FMT","BA","M","TBI",75.5
"239",624,"WT","FMT","1DPI","M","TBI",5
"240",624,"WT","FMT","3DPI","M","TBI",27.3333333333333
"241",624,"WT","FMT","BA","M","TBI",119.5
"242",625,"WT","VEH","1DPI","M","TBI",42
"243",625,"WT","VEH","3DPI","M","TBI",39
"244",625,"WT","VEH","BA","M","TBI",60
"245",626,"WT","VEH","1DPI","M","TBI",21
"246",626,"WT","VEH","3DPI","M","TBI",43
"247",626,"WT","VEH","BA","M","TBI",88.375
"248",627,"WT","VEH","1DPI","M","TBI",6
"249",627,"WT","VEH","3DPI","M","TBI",50
"250",627,"WT","VEH","BA","M","TBI",89
"251",628,"HEMI","FMT","1DPI","F","TBI",19
"252",628,"HEMI","FMT","3DPI","F","TBI",49
"253",628,"HEMI","FMT","BA","F","TBI",82
"254",629,"HEMI","FMT","1DPI","F","TBI",12
"255",629,"HEMI","FMT","3DPI","F","TBI",53
"256",629,"HEMI","FMT","BA","F","TBI",89.6
"257",630,"HEMI","VEH","1DPI","F","TBI",13
